EASY,DIFF_LONG_WORD,DIFF_PHONOLOGICAL
cause,astronomical,courageous
cave,astronomy,courageously
caw,asymmetrical,cowrie
ce,athlete,creation
cease,athletic,crescendo
cedar,athletics,crescent
cee,atlantic,crescograph
cell,atomic,cretion
cello,atomicity,crochet
cent,atrium,crouch
cento,attack,crouched
cepa,attacker,crouching
cigar,attain,crunch
cilia,attainment,crying
cite,attempt,culmination
city,attend,cultivation
civic,attendance,curious
civil,attendant,curiously
clad,attentive,darkness
claim,attentively,daughter
clamp,attire,daylight
clan,attitude,decantation
clank,attorney,deciduous
clap,attract,decipher
clash,attractive,decision
clasp,attractively,declaration
class,attribute,decomposition
claw,audacity,decoration
clay,audible,dedication
clean,audience,deduction
clear,auditorium,defecation
cleft,auditory,definition
clerk,augment,deflection
click,augmented,deforestation
cliff,august,deformation
cling,austere,degradation
clink,authentic,dehydration
clip,authenticity,deindustrialization
clips,author,delegation
clive,authoritative,deletion
cloak,authority,deliberation
clock,autocratic,delicious
clog,automatic,delight
clone,automatically,delighted
close,automobile,delightful
clot,automotive,demarcation
cloth,autonomous,demographic
cloud,autonomy,demonstration
clove,availability,dengue
club,available,denomination
cluck,avarice,denudation
clue,avenge,depiction
clung,avenue,depletion
coal,average,deposition
coast,avoidance,depositional
coat,awareness,depreciation
cob,awesome,depression
cobra,awfully,deprivation
coca,bacillus,descend
cock,backbone,descendant
coco,backcourt,descending
cocoa,backdrop,descent
cod,backed,description
code,background,designate
coe,backhand,designation
coil,backing,designed
coin,backside,designer
coir,backspace,designing
coke,backstage,desolation
col,backswing,destination
cola,backup,destruction
cold,backward,detach
colon,backwards,detachable
color,bacteria,detached
come,bacterial,detachment
comes,bacteriologist,detection
comet,bacterium,detention
comic,badger,deterioration
comma,badminton,determination
con,baffling,devastation
cone,baggage,deviation
cones,bagging,devotion
cook,bajree,devotional
cool,bakery,diagnoses
coop,baking,diagnosis
cop,balaghat,diagnostic
cope,balance,dialogue
copy,balanced,diaphragm
coral,balancing,dichromate
cord,balcony,dictation
core,ballad,dictionary
cork,ballet,differentiation
corn,balloon,diffraction
corps,ballot,diffusion
cos,balsam,digestion
cosec,bamboo,dignitary
cost,banana,dignity
cosy,bandage,dilution
cot,banded,dimension
could,bandhu,dimensional
count,bangle,direction
coup,banker,directional
court,banking,disadvantageous
cover,banner,discern
covid,banning,discharge
cow,banyan,discharging
crab,barasingha,disciplinarian
crack,barbaric,disciplinary
craft,barbed,discipline
crane,barber,discoloration
crash,barbet,discontinuous
crate,barefoot,discretion
crawl,barefooted,discretionary
crazy,barely,discrimination
crea,bargain,discussion
cream,baring,disintegration
creed,barium,dispassionately
creek,barking,dispersion
creep,barley,disruption
crept,barman,dissection
crest,barnyard,dissolution
crew,barometer,distinction
cried,barometric,distraction
crime,barrage,distraught
crisp,barred,distribution
criss,barrel,disulphide
croak,barren,ditch
crook,barrier,dithyramb
crop,barring,diversion
crore,barter,division
cross,basalt,documentation
crow,basaltic,dolphin
crowd,baseball,domination
crown,baseless,donation
crude,basement,doorknob
cruel,basically,dough
crush,basket,dowry
crust,basketball,draught
cry,bathing,drought
cub,bathroom,drying
cube,bathtub,dubiously
cubic,batsman,dumb
cud,battalion,duration
cue,batter,dutch
cult,battery,dying
cum,batting,each
cumin,battle,earache
cup,battled,echo
curd,battlefield,eclipse
curdy,bauxite,edition
cure,bazaar,education
curly,beacon,educational
curry,beadwork,educationally
curse,beaker,educationist
curve,beamed,effervescence
curvy,beaming,egestion
cusp,bearer,eight
cut,bearing,eighteen
cute,beaten,eighteenth
cutin,beating,eighth
cycle,beaver,eighty
d,because,elaboration
da,beckoning,election
dab,become,electrochemical
dad,becomes,electromagnet
dada,becoming,electromagnetic
dae,bedclothes,electromagnetism
daily,bedding,electrotechnical
dairy,bedpost,elephant
daisy,bedroom,elephanta
dak,bedside,elevation
dal,bedtime,elimination
dam,beehive,elongation
daman,beekeeper,elsewhere
damp,beeswax,elucidation
dan,beetle,emancipation
dance,beetroot,emigration
danda,befitting,emission
dandy,before,emotion
dao,beforehand,emotional
dap,begging,emotionally
dar,beginning,emphasis
dare,behalf,emphatically
dark,behave,emulsion
dart,behavior,encephalitis
das,behind,enchanting
dash,behold,encroach
data,belief,enjoying
date,believable,enlighten
dawn,believe,enlightened
day,believing,enlightening
days,bellman,enlightenment
dazed,bellow,enough
de,bellows,enrich
dead,belong,enriching
deaf,belonging,enrichment
deal,beloved,enumeration
dealt,bending,enunciation
dean,beneath,envious
dear,beneficent,epigraph
death,beneficial,epilepsy
deb,benefit,epoch
debit,benevolence,equation
debt,benevolent,equiangular
debut,bentonite,eradication
decay,benzene,erosion
deck,bereft,erosional
dee,beriberi,eruption
deed,berlin,esterification
deep,berseem,estimation
deer,beryllium,evacuation
defer,beside,evaluation
deft,besides,evaporation
defy,besieged,everywhere
deity,besotted,evolution
delay,bestow,evolutionary
delta,betray,exaggeration
delve,betrayal,examination
deme,better,excavation
demon,betterment,exception
demos,between,exceptional
den,betwixt,exceptionally
dense,beverage,exchange
dent,beware,exclamation
deny,bewildered,exclusion
depth,bewildering,excretion
desi,bewilderment,excursion
desk,beyond,execution
dess,bhabar,exemption
deter,bhagavata,exertion
dev,bhakta,exhalation
deva,bhakti,exhaustion
devil,bharal,exhibition
dew,bicameral,expansion
dewan,biceps,expectation
dey,bicycle,expedition
dha,bifurcated,experimentation
dhak,bigger,explanation
dhan,biggest,exploitation
dhole,billing,exploration
dhoti,billion,exposition
dhu,billionth,expression
di,binary,extension
dial,binder,extermination
diary,binding,extinction
dice,binomial,extraction
dicot,biogenesis,eyesight
did,biological,fabrication
die,biologist,facilitation
diet,biology,faction
dig,biotic,factionalism
digit,birdbath,factorization
digs,birding,fascinate
dim,birdman,fascinated
dime,birthday,fascinating
dimly,birthplace,fascination
din,biscuit,fascism
dine,bisect,fatigue
diode,bisector,fermentation
dip,bisexual,ferocious
dirt,bismillah,fetch
dirty,bitten,fetching
dis,bitter,fiction
disc,bitterly,fictional
dish,bitumen,fictitious
disk,bituminous,fight
divan,blackberry,fighter
dive,blackboard,fighting
diver,blackcock,filtration
dixit,blackish,fission
dizzy,blackly,fixation
do,blacksmith,flashlight
doab,bladder,flight
doc,blamed,flocculation
dock,blameless,fluorescent
dodge,blaming,flying
doe,blanked,formation
doer,blanket,formulation
does,blasting,fortification
dog,blazing,fortifying
dogs,bleeding,fortnight
doing,blended,fought
dola,blender,foundation
doll,blending,foundational
dom,blessed,fraction
dome,blessing,fractional
don,blindfold,fragmentation
done,blindfolded,franchise
dong,blindness,freight
donor,blinked,friction
dont,blinking,frictional
door,blinks,frictionless
dorje,blissful,fright
dos,blissfully,frighten
dosa,blister,frightened
dose,bloated,frightening
dot,blocked,frightful
dotty,blockhead,frightfully
doubt,blocking,frustration
dove,blooded,fumigation
dow,bloodshed,function
down,bloodshot,functional
dozen,bloodsucking,functionality
draft,bloodthirsty,furious
drag,blooming,furiously
drain,blossom,fusion
drake,blossomed,gangue
drama,blotting,gaseous
drank,blowing,generation
draw,blueberry,geographic
drawn,blueprint,geographical
dream,bluntly,geographically
dress,blurred,geography
drew,boarding,geosphere
dried,boasting,germination
drier,boating,glimpse
drift,boatman,glorious
drill,bodhisattva,gnu
drink,bodied,gracious
drip,bodily,gradation
drive,boiled,graduation
drone,boiling,gramophone
droop,boldly,grandchild
drop,bombardment,granddaughter
drove,bondage,graph
drown,bonded,graphic
drug,bonding,graphical
drum,bonsai,graphically
drunk,bookcase,graphics
dry,booked,graphite
dual,booking,gratification
dub,bookish,gratifying
duck,booklet,gravitation
duct,bookmark,gravitational
due,bookshelf,gypsum
duet,bookshop,habitation
dug,bookstore,handkerchief
dull,booster,handwriting
duly,border,haphazardly
dum,bordered,harmonious
dummy,bordering,harmoniously
dump,boredom,hatch
dun,boring,hatching
dune,borrow,haughtily
dung,borrower,headache
duo,borrowing,headphone
dusk,boston,height
dust,botanical,hemisphere
dusty,botanist,hemispherical
duty,botany,herbaceous
dwarf,bother,hesitation
dwell,bottle,heterogeneous
dwelt,bottom,heterotrophic
dye,bottomed,hibernation
dyer,bounce,hierarchy
e,bouncer,highlight
ea,bouncing,homoeopathy
eager,boundary,homogeneous
eagle,bounded,honeycomb
ear,boundless,hopscotch
early,bountiful,humiliation
earn,bounty,hunch
earth,bouquet,hydration
ease,bowing,hydrochloric
easel,bowler,hydrogenation
east,bowling,hydrophilic
easy,bowman,hydrophobic
eat,bowstring,hydrosphere
eaten,boxing,hymn
eater,boyhood,hypertension
eats,bracelet,hyphen
eaves,bracket,hyphenated
ebb,brackish,iao
ebony,braided,identification
edge,brains,igneous
edict,brandy,ignite
edit,brassware,ignition
eft,bravely,ignorance
egad,braver,ignorant
egg,bravery,ignore
ego,brazier,illumination
eh,brazil,illusion
eject,breadboard,illustration
el,breadth,illustrious
elbow,breadthless,imagination
eld,breakable,imitation
elder,breakdown,immersion
elect,breaker,immigration
elite,breakfast,impeachment
ell,breaking,impervious
else,breakup,implementation
elt,breast,implication
elude,breath,imposition
em,breathe,impression
emit,breathed,improvisation
emote,breathing,inaction
empty,breathless,inauguration
en,breathlessly,incandescent
enact,breathy,inception
end,breeding,inch
ended,breeze,inchworm
enemy,bridal,inclination
enjoy,bridegroom,inclusion
enrol,bridge,incorporation
ens,bridging,inculcation
enter,bridle,indentation
entry,briefly,indication
epic,brigade,indigestion
equal,brilliance,indignant
equip,brilliant,indiscipline
er,brimmed,induction
era,brinjal,infection
erase,brittle,infectious
ere,broadcast,infighting
erect,broaden,infiltration
eric,broadly,inflammation
erode,broadway,inflation
error,broiler,inflection
ers,broken,information
erupt,bromide,ingenious
es,bromine,inhalation
essay,bronze,inhibition
ester,brooding,injection
ether,broomstick,injudicious
ethic,brother,injurious
ethos,browning,innocuous
eu,brownish,innovation
evade,browse,inquisition
eve,browser,inscription
even,browsing,insertion
event,brushed,insight
ever,brushes,insightful
evert,brushing,insignia
every,brutal,insignificant
evil,brutality,inspection
evoke,brutally,inspiration
ex,bubalis,inspirational
exact,bubble,installation
exam,bubbler,instantaneous
excel,bubbling,instantaneously
exert,bucket,institution
exile,buckeye,institutional
exist,budding,instruction
exit,budget,instructional
extra,buffalo,insulation
eye,buffet,integration
eyed,builder,intention
eyer,building,intentional
f,buildup,intentionally
fa,bulbul,interaction
fable,bulldozer,interception
face,bullet,interchange
faced,bulleted,interchangeably
fact,bulletin,interconversion
fade,bullfrog,international
faded,bullock,internationally
fae,bumble,interpretation
fail,bundle,interrelation
faint,bunker,interrelationship
fair,buoyancy,interruption
fairy,buoyant,interschool
faith,burden,intersection
fake,burgess,intervention
fakir,burglar,intimation
fall,burglary,intimidation
false,burial,intonation
fame,buried,intrigue
fan,burned,introduction
fancy,burner,intuition
far,burning,inundation
farce,burrow,invasion
fare,busily,invention
farm,business,inversion
fast,bustard,investigation
fat,bustling,invitation
fatal,butane,invocation
fate,butanol,irrational
fatty,butanone,irrationality
fault,butler,irrigation
fay,butter,irritation
fe,butterfly,isolation
fear,buttermilk,isosceles
feast,buttock,itching
feat,button,itchy
fed,buttons,iteration
fee,buzzing,journeying
feed,bygone,judicious
feel,bystander,judiciously
feint,cabbage,junction
fell,cabinet,justification
felt,cabled,justifying
fence,cackle,ketchup
fern,cadamba,kitchen
ferry,cadmium,knead
fest,cajole,knee
fever,calamity,kneel
few,calcite,kneeling
fez,calcium,knew
fi,calculate,knick
fiber,calculated,knife
field,calculating,knight
fiery,calculator,knit
fifth,calendar,knitted
fifty,calibrate,knitting
fig,calling,knock
file,callously,knocking
fill,callus,knot
film,calmer,knotted
fin,calmly,know
final,calmness,knowing
find,calorie,knowingly
fine,calves,knowledge
finer,cambium,knowledgeable
fir,camera,known
fire,cameral,kutcha
fired,campaign,laboriously
firm,campus,lactation
first,canada,lamb
fish,canaliculus,lamentation
fist,canary,lapse
fit,cancel,laughter
five,cancer,launch
fives,candid,laying
fix,candidate,leeches
fixed,candle,legislation
fixer,canine,liberation
fizzy,canned,lichen
flag,canning,lichi
flair,cannot,lieutenant
flaky,canopy,light
flame,canteen,lighten
flap,cantor,lighter
flare,canvas,lighthouse
flash,capability,lighting
flask,capable,lightly
flat,capacity,lightness
flaw,capillary,lightning
flax,capital,lightweight
fled,capped,lignin
flee,captain,lignite
fleet,captivate,limb
flesh,captivating,limitation
flew,capture,litigation
flick,carafe,location
flint,caramel,locomotion
flip,caravan,lunch
flit,carbohydrate,luxurious
float,carbon,luxuriously
flock,carbonate,lying
flood,carboxylic,lymph
floor,carcass,lymphatic
flop,cardamom,lymphocyte
flora,cardboard,macaque
flour,cardiac,machine
flow,cardinal,machinery
flown,cardiopulmonary,macrophage
flu,cardiovascular,magnate
fluid,cardstock,magnesia
flung,career,magnesium
flush,careful,magnet
flute,carefully,magnetic
flux,careless,magnetism
fly,carelessly,magnetite
foal,carelessness,magnification
foam,caress,magnificence
focal,caretaker,magnificent
foci,caricature,magnify
focus,caries,magnitude
foe,carminative,malachite
fog,carnelian,malicious
fogey,carnival,malnutrition
foggy,carotid,manifestation
foil,carpenter,manipulation
fold,carpentry,march
folk,carpet,marrying
font,carriage,match
food,carried,matchbox
fool,carrier,matching
foot,carrot,matchlock
for,cartilage,matchstick
force,carton,maturation
fore,cartoon,meanwhile
forge,cartoonist,mechanic
fork,cartridge,mechanical
form,carving,mechanically
fort,cashew,mechanics
forth,cashier,mechanism
forty,casket,medication
forum,cassia,meditation
foul,casting,megaphone
found,castle,meiosis
four,castor,melancholy
fowl,casual,melodious
fox,casually,melodiously
fra,casualty,menstruation
frail,catalyst,mensuration
frame,catapult,mention
frank,cataract,merchandise
fraud,category,merchant
freak,caterpillar,metamorphic
free,catfish,metaphor
fresh,catharsis,metaphorical
fried,cathartic,metaphorically
fro,cathode,michigan
frock,catholic,microphone
frog,cattle,midnight
from,cauliflower,might
front,causal,mighty
frost,causing,migration
frown,caustic,milch
froze,cavalry,milieu
fruit,cavendish,miscellaneous
frump,cavity,mischief
fry,ceaseless,mischievous
fu,ceiling,mission
fuel,celebrate,missionary
full,celebrated,mitigation
fully,celebratory,mitochondria
fume,celebrity,mocha
fun,celestial,moderation
fund,celiac,modification
funds,celled,modulation
fungi,cellular,monarch
funny,celluloid,monarchy
fur,cellulose,monsieur
furry,cement,moonlight
fury,censor,morph
fuse,censure,mosque
fused,census,motherhood
g,centauri,motion
ga,centenary,motionless
gable,center,motivation
gain,centered,motivational
gains,centimeter,much
gaj,centipede,mulch
gala,central,multidimensional
gale,centrality,multifarious
gall,centric,multinational
game,centripetal,multiplication
gamma,centum,multiplying
gang,century,munch
ganga,ceramic,mysterious
gange,ceramics,mysteriously
gap,cereal,nach
garb,cerebellum,naphthalene
gas,cerebral,narration
gate,ceremonial,nation
gau,ceremony,national
gauge,certain,nationalist
gaur,certainly,nationalistic
gauss,certainty,nationality
gauze,certificate,nationally
gave,certified,nationwide
gaw,certify,naughty
gay,cervix,navigation
gaze,cesium,negation
gazel,cicada,negotiation
ge,cigarette,neigh
gear,ciliary,neighborhood
gecko,ciliated,nephew
ged,cinema,nephron
gee,cinnabar,neuropsychiatric
geet,cinnamon,niche
gel,circle,nickname
gene,circled,night
genie,circling,nightfall
genre,circuit,nightgown
genus,circular,nightjar
geo,circulate,nightmare
germ,circulatory,nights
get,circumference,nimb
ghat,circumscribe,nomination
ghee,circus,nonchalant
ghost,citizen,nonchalantly
giant,citizenship,notation
gift,citric,notch
gill,citrus,notification
gimp,civics,notion
girl,civilian,notorious
girth,clapped,nowhere
give,clapper,noxious
given,clapping,nucleoid
giver,clarify,numb
glad,clarinet,nutrition
glade,clarity,nutritional
gland,classed,nutritionist
glass,classes,nutritious
glee,classic,nymph
glide,classical,objection
globe,classified,obligation
glory,classmate,oblique
glove,classroom,observation
glow,clatter,observational
glue,clause,obsession
glued,clayey,obstruction
go,cleaner,obvious
goa,cleaning,obviously
goal,cleanliness,occasion
goat,cleanse,occasional
gobi,cleansing,occasionally
god,clearance,occupation
gode,clearer,occupational
goel,clearing,odious
goes,clearly,oesophagus
goi,clergyman,oligarchic
going,clever,oligarchy
gol,cleverly,omission
gola,cleverness,onslaught
gold,climate,opaque
gon,climatic,operation
gone,climax,operational
